quest_id,name,category,level_min,level_max,race_requirements,class_requirements,repeatability,l2solo_runtime_status,bridge_compatibility,bot_resolution_mode,implementation_priority,confidence,implementation_cohort
1,Letters of Love,NORMAL,2,,[],[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
2,What Women Want,NORMAL,2,,"[""Human"",""Elf""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
3,Will the Seal be Broken?,NORMAL,16,,"[""Dark Elf""]",[],ONE_TIME,IMPLEMENTED,REQUIRES_EXTENSION,HYBRID,LOW,HIGH,A
4,Long Live the Paagrio Lord,NORMAL,2,,"[""Orc""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
5,Miner's Favor,NORMAL,2,,[],[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
6,Step into the Future,NORMAL,3,,"[""Human""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
7,A Trip Begins,NORMAL,3,,"[""Elf""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
8,An Adventure Begins,NORMAL,3,,"[""Dark Elf""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
9,Into the City of Humans,NORMAL,3,,"[""Orc""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
10,Into the World,NORMAL,3,,"[""Dwarf""]",[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,A
11,Secret Meeting With Ketra Orcs,ENDGAME,74,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,PARTIAL,HYBRID,HIGH,HIGH,G
12,Secret Meeting With Varka Silenos,ENDGAME,74,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,PARTIAL,HYBRID,HIGH,HIGH,G
13,Parcel Delivery,ENDGAME,74,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,PARTIAL,HYBRID,HIGH,HIGH,G
14,Whereabouts of the Archeologist,ENDGAME,74,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,PARTIAL,HYBRID,HIGH,HIGH,G
15,Sweet Whispers,NORMAL,60,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,PARTIAL,HYBRID,HIGH,HIGH,E
16,The Coming Darkness,NORMAL,62,,[],[],CONDITIONAL_OR_BRANCHING,SCRIPT_EXISTS_UNREGISTERED,PARTIAL,HYBRID,HIGH,HIGH,F
17,Light and Darkness,NORMAL,61,,[],[],CONDITIONAL_OR_BRANCHING,SCRIPT_EXISTS_UNREGISTERED,PARTIAL,HYBRID,HIGH,HIGH,F
18,Meeting with the Golden Ram,NORMAL,66,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,PARTIAL,HYBRID,HIGH,HIGH,F
19,Go to the Pastureland!,NORMAL,63,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,PARTIAL,HYBRID,HIGH,HIGH,F
20,Bring Up With Love,NORMAL,65,,[],[],ONE_TIME,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,F
21,Hidden Truth,NORMAL,63,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,UNKNOWN,MEDIUM,HIGH,F
22,Tragedy in von Hellmann Forest,NORMAL,,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,E
23,Lidia's Heart,NORMAL,64,,[],[],ONE_TIME,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,F
24,Inhabitants of the Forest of the Dead,NORMAL,65,,[],[],ONE_TIME,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,F
25,Hiding Behind the Truth,NORMAL,66,,[],[],REPEATABLE,MISSING,REQUIRES_EXTENSION,HYBRID,MEDIUM,HIGH,F
27,Chest caught with a bait of wind,FISHING,27,,[],[],ONE_TIME,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,C
28,Chest caught with a bait of icy air.,FISHING,36,,[],[],ONE_TIME,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,C
29,Chest caught with a bait of earth.,FISHING,48,,[],[],ONE_TIME,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
30,Chest caught with a bait of fire.,FISHING,60,,[],[],ONE_TIME,MISSING,PARTIAL,HYBRID,MEDIUM,HIGH,E
31,Secret buried in the Swamp,NORMAL,66,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,PARTIAL,HYBRID,HIGH,HIGH,F
32,An Obvious Lie,NORMAL,45,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,E
33,Make a pair of dress shoes,NORMAL,60,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,PARTIAL,HYBRID,HIGH,HIGH,E
34,In Search of Cloth,NORMAL,60,,[],[],ONE_TIME,IMPLEMENTED,REQUIRES_EXTENSION,HYBRID,LOW,HIGH,E
35,Find Glittering Jewelry,NORMAL,60,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,E
36,Make a Sewing Kit,NORMAL,60,,[],[],ONE_TIME,IMPLEMENTED,REQUIRES_EXTENSION,HYBRID,LOW,HIGH,E
37,Please make me formal wear!,NORMAL,60,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,PARTIAL,HYBRID,HIGH,HIGH,E
38,Dragon Fangs,NORMAL,19,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,A
39,Red-Eyed Invaders,NORMAL,20,,[],[],ONE_TIME,SCRIPT_EXISTS_UNREGISTERED,REQUIRES_EXTENSION,HYBRID,HIGH,HIGH,A
42,Help the Uncle!,NORMAL,25,,[],[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,C
43,Help the Sister!,NORMAL,25,,[],[],ONE_TIME,IMPLEMENTED,PARTIAL,HYBRID,LOW,HIGH,C
